Time,Run-time,Time Since Faults Occurred,Is-Ready Power Status,Errors Present,Discharge-Enable Output Active,Charger-Safety Output Active,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,CCL Zero Because Charge Complete,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current)
Fri Mar 31 18:41:58 IST 2023,4911.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:41:58 IST 2023,4911.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:41:58 IST 2023,4911.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:41:58 IST 2023,4911.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:41:58 IST 2023,4911.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:41:58 IST 2023,4911.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:41:59 IST 2023,4911.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:41:59 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:41:59 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:41:59 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:41:59 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:41:59 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:41:59 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:41:59 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:41:59 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:41:59 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:42:00 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:00 IST 2023,4912.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:00 IST 2023,4913.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:00 IST 2023,4913.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:00 IST 2023,4913.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:00 IST 2023,4913.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:00 IST 2023,4913.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:00 IST 2023,4913.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:42:00 IST 2023,4913.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:00 IST 2023,4913.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:01 IST 2023,4913.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:01 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:01 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:01 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:01 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:01 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:01 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:01 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:01 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:02 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:02 IST 2023,4914.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:02 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:02 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:02 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:42:02 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:42:02 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:02 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:02 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:02 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:03 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:42:03 IST 2023,4915.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.100000
Fri Mar 31 18:42:03 IST 2023,4916.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:03 IST 2023,4916.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:03 IST 2023,4916.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:03 IST 2023,4916.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:03 IST 2023,4916.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:03 IST 2023,4916.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:03 IST 2023,4916.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:03 IST 2023,4916.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
Fri Mar 31 18:42:04 IST 2023,4916.000000,81.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,48.000000,0.000000,0.000000,0.000000
